Step,Create Contribution On-Chain,Create Contribution Off-Chain,Assign Contribution On-Chain,Assign Contribution Off-Chain,Update Coordinates On-Chain,Update Coordinates Off-Chain,Review Contribution On-Chain,Review Contribution Off-Chain,ZKP Contracts On-Chain,ZKP Contracts Off-Chain,Total Time
222,14,0,17,0,20,86,65,94,25,3007,3330
223,15,0,18,0,16,88,73,73,17,3688,3990
224,18,0,18,0,16,79,71,79,26,3046,3356
225,16,0,17,0,14,87,87,93,19,3027,3366
226,14,0,17,0,15,86,77,74,22,3217,3526
227,14,0,17,0,20,98,81,91,22,3053,3400
228,14,1,17,0,17,82,82,79,22,3065,3383
229,15,1,21,0,16,85,98,90,21,3093,3446
230,15,0,18,0,14,84,80,78,22,3796,4112
231,16,0,23,0,95,91,26,86,32,3772,4148
232,18,0,22,0,15,121,91,336,23,3452,4083
233,22,1,33,0,17,94,83,83,24,3045,3409
234,14,0,17,0,14,89,68,83,21,3357,3667
235,14,0,19,0,13,85,74,78,20,3101,3409
236,15,0,17,0,13,92,82,78,21,3122,3444
237,16,0,18,0,17,91,73,86,23,3290,3619
238,17,0,20,0,19,124,77,101,23,3102,3487
239,13,0,17,0,13,94,71,81,20,3014,3325
240,16,0,19,0,85,101,21,101,24,3032,3402
241,16,0,20,0,73,93,23,84,24,3040,3377
242,16,0,18,0,14,97,86,87,22,3339,3682
243,15,0,19,0,15,91,63,86,20,3085,3396
244,19,0,19,0,19,94,24,115,25,3217,3561
245,14,0,18,0,15,93,81,81,20,3192,3520
246,15,0,18,0,77,92,23,133,24,3331,3723
247,14,0,17,0,15,94,77,87,24,3076,3408
248,14,0,16,0,15,93,90,84,24,3375,3714
249,13,0,16,0,15,93,71,85,23,3066,3384
250,18,1,23,0,17,129,92,98,20,3175,3576
251,16,0,18,0,15,100,78,86,27,3354,3696
252,18,0,18,0,17,97,83,85,26,3307,3655
253,13,0,19,0,16,93,74,87,20,3431,3755
254,16,0,18,0,19,92,77,84,22,3317,3648
255,17,0,18,0,23,123,90,133,22,3548,3985
256,20,0,29,0,28,116,92,119,23,3512,3946
257,16,0,17,0,16,98,86,90,25,3098,3452
258,15,0,17,0,16,95,82,89,23,3224,3566
259,15,0,18,0,16,96,77,88,21,3096,3429
260,16,0,17,0,21,123,74,89,22,3037,3402
261,13,0,17,0,17,93,82,87,21,3097,3432
262,14,0,23,0,18,124,67,89,22,3113,3472
263,14,1,18,0,71,99,22,90,24,3086,3427
264,14,0,17,0,16,95,24,92,24,3241,3523
265,14,0,19,0,14,102,101,100,22,3147,3528
266,15,1,18,0,13,98,74,89,18,3273,3599
267,14,0,18,0,14,108,89,90,20,3129,3485
268,16,0,21,0,14,98,101,91,22,3075,3440
269,16,0,20,0,14,96,76,92,21,3288,3627
270,26,0,24,0,19,116,75,95,25,3112,3495
271,13,1,19,0,17,102,24,117,20,3025,3360
272,13,0,20,0,23,99,27,92,25,3138,3489
273,16,0,17,0,13,99,29,93,22,3742,4036
274,14,0,24,0,22,111,74,225,23,4225,4725
275,13,0,17,0,17,91,25,89,25,3142,3423
276,13,0,18,0,14,98,23,92,22,3047,3328
277,14,1,20,0,15,100,22,92,23,3143,3433
278,14,0,20,0,13,97,20,95,32,3207,3500
279,15,0,22,0,21,159,38,120,24,3520,3921
280,17,0,20,0,20,157,28,100,24,3871,4245
281,14,0,22,0,19,101,23,98,27,3073,3380
282,13,0,19,0,16,106,24,94,32,3133,3444
283,13,1,19,0,17,103,26,101,25,3131,3439
284,16,0,20,0,17,106,21,116,26,3069,3398
285,13,0,19,0,17,105,22,99,29,3239,3549
286,22,0,23,0,26,125,23,113,25,3066,3467
287,14,0,20,0,16,105,25,98,27,3084,3393
288,16,0,18,0,16,106,26,99,25,3274,3586
289,13,1,17,0,18,106,23,129,25,3185,3524
290,12,1,17,0,12,96,29,89,23,3118,3400
291,18,1,18,0,16,146,22,103,26,3330,3683
292,15,0,17,0,16,104,37,101,24,3066,3390
293,16,0,18,0,13,108,22,99,28,3066,3376
294,13,0,20,0,15,104,35,107,28,3282,3610
295,15,0,17,0,15,108,26,101,26,3308,3621
296,14,0,26,0,13,114,27,126,21,3749,4096
297,15,0,17,0,12,98,27,93,22,3045,3333
298,14,0,18,0,15,109,22,148,25,3034,3390
299,14,0,16,0,12,111,24,99,25,3088,3395
300,15,1,17,0,13,107,27,117,20,3359,3683
301,12,0,16,0,12,102,22,102,22,3111,3403
302,16,0,22,0,12,115,24,104,25,3047,3372
303,14,0,18,0,16,122,23,104,30,3548,3881
304,17,0,18,0,20,122,28,117,25,3732,4083
305,15,0,28,0,22,156,25,117,17,3133,3521
306,16,0,17,0,14,106,26,106,28,3156,3473
307,16,0,18,0,17,114,22,102,21,3116,3431
308,13,0,20,0,13,119,24,107,23,3179,3502
309,14,1,19,0,12,110,28,103,48,3339,3676
